SampleID,Site,BAI_GR,BIO_GR,Species,julian.date.2011,Tree.Age,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging.Tolerance,Tree.Height,Branch.Height,Root.Wood.Density,Twig.branching.angle,Symmetric.Competition,Asymmetric.Competition,Soil.Humidity,SoilpH,Organic.C,N,P,K,Ca,Mg,Soil.Depth,Slope,North.Aspect,East.Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,X.Canopy.Opening,Estem,Branching.Distance,Stem.Wood.Density,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C
J11AMSP15,Gault Parking,0.8896294539999999,0.2601368595508874,AMSP,190,30,12,3.946,2.322,1.026,456,2.7,0.7440504924,38.153,6.67596229,22.0378123,0.062666667,4.9,10.78237192,0.409106708,4.828426981,83.29237887,350.5806719,31.61032766,29,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,3.59,6311.339074,12.16666667,0.884084507,19.60943396,40.63311845,48.801,2.4395,13.04847975,-3.830754623,0.006342093,94.90216515,1779.576213,0.008168922,0.182940362,9138.544043,0.955015854,-30.67580421
J11BEA6,Gault Parking,0.37404819199999995,0.3850957828058132,BEA,190,15,25,3.17,3,2,327,2,0.620095343,64.6842,10.51246798,3.88664232,0.075333333,5.7,9.5576428418,0.3740249178,21.592652116,173.13034601,1717.88205906,95.687408958,15,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.63,4774.756829,9.857142857,0.642622951,19.9,33.76884422,46.8291,2.0502,10.98919808,-2.12705718,0.019565983,86.73651596,1689.660289,0.003021396,0.101019942,13396.73355,0.992127606,-30.66197403
J11BEA7,Gault Parking,0.8109298620000001,1.1292326864290887,BEA,190,14,25,3.17,3,2,376,2.7,0.661087866,69.94883333,3.223722332,2.287198241,0.009666667,5.79,3.716681586,0.038062284,4.241394567,50.18537924,480.6388579,20.71452784,22,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,4.39,4962.812215,40,0.591191958,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.358811216,0.023944652,15.50386653,301.8042009,0.006373468,0.073997719,9665.437573,0.991414736,-31.11229691
J11BEPA15,Gault Parking,1.223103898,0.3220026822490731,BEPA,190,21,25,1.54,2.02,1.25,564,4.9,0.553974385,56.735,2.676860013,5.880547158,0.083,4.78,10.75241676,0.281974975,4.713148331,100.6148477,607.3693717,47.80125432,14,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,6.08,6515.643783,41.5,0.529411765,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.752803044,0.031962697,50.06644908,978.9630724,0.004608051,0.146957987,2458.327218,0.995840144,-30.06918701
J11BEPO11,Gault Parking,0.012821981999999999,0.4220521842390026,BEPO,218,12,15,1.5,2.34,1,245,1.8,0.5991691882,44.4195,2.8978832604,12.5693357494,0.138,5.2486666666,8.2827305926,0.33531009079999996,30.941294608,230.63405572,1672.03784988,96.354097474,3,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.55,1069.784403,28.2,0.526368159,12.41448276,51.63602022,49.67241821,3.3173,14.09329873,-3.205218935,0.019706561,38.35987793,736.3124051,0.003216945,0.108853957,4383.95696,0.977586084,-29.74619896
J11BEPO12,Gault Parking,0.21379794199999996,1.384124562181323,BEPO,190,15,15,1.5,2.34,1,537,4.4,0.41607565,47.276,5.47650316,4.099608852,0.055,5.68,5.469203799,0.174786605,3.632128873,69.76471876,882.9419084,39.22350105,21,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,5.13,3069.050836,14.36363636,0.592284733,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.574813867,0.013673912,72.00436784,1384.228269,0.003842745,0.118144581,8633.222818,0.979081811,-30.88110001
J11COA5,Gault Parking,1.546864852,0.4865214668749416,COA,190,17,10,4,1.77,1.02,342,3,0.473537604,58.219,2.354269924,50.58615458,0.063333333,4.94,10.69745535,0.392857143,6.048305276,116.6129033,844.0747603,56.06521389,50,7.7,0.5,-0.866025404,200,26.33,-11.17,13.03,6.24,1395.91942,19,0.568141026,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.547017632,0.025451634,72.4838593,1286.676386,0.003396777,0.151487941,8783.895374,0.904061827,-31.74354347
J11COA6,Gault Parking,0.8717042319999999,0.26285044226186965,COA,190,19,10,4,1.77,1.02,464,3.6,0.670168067,51.2557,2.659044022,23.73637214,0.139333333,5.11,17.41990098,0.552845528,10.62948652,125.6639656,1502.765577,78.69184155,30,11.4,0.342020143,-0.939692621,200,26.33,-11.17,13.03,3.78,3934.574913,21.83333333,0.600533333,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.642497358,0.018202124,35.6573934,550.8337994,0.007237312,0.121430263,5652.919906,0.786757874,-31.50082573
J11FAG17,Gault Parking,1.478615598,0.3553640385717968,FAG,190,17,25,4.75,1.5,1.5,440,4,0.6451240572,64.54868,6.39578552,35.20187288,0.114666667,6.05,9.728365915,0.313225371,12.16626727,105.7593091,1347.627493,66.85433677,20,17.2,0.64278761,-0.766044443,200,26.33,-11.17,13.03,2.4,3854.560391,14.125,0.720942623,55.015,22.77787876,47.6881,2.9169,13.46337806,0.528578176,0.017021405,58.93334037,1087.772139,0.006789977,0.135523456,7488.630832,0.940041406,-31.37796219
J11POG7,Gault Parking,2.2193540560000002,1.0194979008563356,POG,190,16,20,1.21,2.5,2,661,5.5,0.5473340358,59.63975,9.928984189,1.49777745,0.042333333,5.2,9.697617834,0.380287739,6.270478768,101.3152429,1328.296708,66.94785026,25,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,6.12,9105.990621,13,0.459617321,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.003921733,0.020076068,115.3446276,2097.167708,0.009187247,0.178355564,4265.953521,0.925989156,-29.59481819
J11POT11,Gault Parking,1.210008268,0.44240663003217323,POT,218,22,25,1.21,1.77,1.77,569,3.5,0.5858619718,74.54733333,3.3819349092,12.575870068999999,0.070666667,5.62,6.305686596,0.202025905,2.156281834,77.40741901,914.7994218,45.39362727,38,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,3.76,6964.813515,11,0.576455696,14.926,80.27937827,48.858,2.8376,12.35296523,-2.135547237,0.002756092,41.28901846,788.8702071,0.006445975,0.111422965,4849.766496,0.973063329,-29.3259581
J11POT12,Gault Parking,0.436597538,0.8494707223124474,POT,190,12,25,1.21,1.77,1.77,295,2.6,0.5838712956,72.052,0.253455322,2.32029422,0.016,6.05,3.367473993,0.050689539,6.430567944,70.20700423,704.0244107,31.14310067,14,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,14,2415.764735,34.66666667,0.575501584,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.565268593,0.034433242,30.55874422,587.167744,0.004987544,0.108851534,5521.064277,0.978581038,-28.29275307
J11PRP7,Gault Parking,1.6012616080000002,0.1718307980529287,PRP,190,25,12,3.128,2.33,1.028,330,2.5,0.5737570587999999,60.16791667,1.754223455,2.780351223,0.051,5.76,7.014214332,0.26226158,4.471331932,84.66759842,1298.143999,62.42616159,19,13,0.5,-0.866025404,200,26.33,-11.17,13.03,3.96,595.1691173,8.6,0.664526803,14.4791453,47.96170147,45.42804262,2.8632,16.47467355,-2.955379629,0.025087238,148.0309983,2808.094636,0.014480761,0.206149778,9343.967919,0.966115794,-29.22596962
J11PRP8,Gault Parking,0.6012083519999999,0.36368507879736733,PRP,190,13,12,2.388,2.634,1.044,497,3.6,0.5683981934,50.7753,0.230910939,8.801212843,0.068,5.72,4.166784647,0.096903926,7.379929324,54.24504561,1040.499809,40.30247295,20,13,0.5,-0.866025404,200,26.33,-11.17,13.03,1.88,6540.187445,8.357142857,0.641814059,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.216383123,0.025603627,71.29450175,1326.322214,0.008033904,0.133211509,8351.240621,0.947464868,-30.58699638
J11QUR19,Gault Parking,1.3599939300000001,0.5667641539179867,QUR,190,17,25,2.75,2.88,1.12,537,3.7,0.589387212,7.538,18.77198573,5.477577423,0.623333333,5.59,12.0600033772,0.4387753236,12.3282888966,101.259260504,2814.74326612,133.596121774,23,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.11,8602.652067,31.5,0.791509677,93.28166667,52.99362147,47.3582,2.7166,11.4558948,1.197930219,0.036340788,281.2747697,1198.120273,0.067141326,0.109601455,42423.96939,0.216940057,-29.63957771
J11QUR20,Gault Parking,0.30398514,0.2895997503218878,QUR,190,15,25,2.75,2.88,1.12,266,1.7,0.5947437568,45.66505,1.507750139,5.436795046,0.094,5.073333333,8.505584088,0.39360025,6.380655869,117.8356308,812.9221483,50.73948022,26,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,1.06,2827.123137,11.71428571,0.824509298,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.458056865,0.011665998,313.6379901,625.0836387,0.106850335,0.159789143,39892.44825,0.101503164,-31.12436089
J11SOA10,Gault Parking,1.269459158,0.37599384528980084,SOA,190,19,10,2.59,1.77,1.27,548,3.3,0.5703241054,50.0795,4.022718017,3.188168633,0.07,5.42,6.535064624,0.224297924,6.444145423,189.7025184,1495.926493,82.37754655,32,15.5,0.309016994,-0.951056516,200,26.33,-11.17,13.03,2.96,6631.906161,12.66666667,0.670286738,19.17266667,47.28954414,45.9814,2.4735,15.18300142,-2.585423336,0.0329153,18.88733802,324.2869931,0.003830998,0.099259677,3453.805612,0.874437728,-31.20744713
J12ACP11,South East Hill,0.5339362639999999,0.1401214174766519,ACP,214,29,10,3.56,2,1,297,2.2,0.590608067,48.8808,1.31110872,35.35226424,0.079,5.25,28.12839421,0.878855444,42.07654584,244.3706697,5549.610048,202.2730237,26,0,0,0,222,26.67,-11.17,13.12,4.57,895.3041167,13.3,0.544483986,70.37235294,25.787199180000002,46.1249,2.0342,18.89869388,-2.79781805,0.018171156,35.02319349,575.43813,0.009143648,0.073630171,8276.479554,0.836783297,-29.74419983
J12ACP12,South East Hill,0.24308889999999989,0.10603825734427914,ACP,214,30,10,3.56,2,1,340,2,0.666693205,59.1578,0.96271382,31.56699692,0.045333333,5.006666667,23.52582969,0.914095026,58.5160902,232.2416322,7955.011858,227.9646929,37,31,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.17,1877.633291,29.66666667,0.575522388,87.694,25.61178644,44.6355,2.7603,24.82237046,-4.662024574,0.020660844,38.49389995,608.4670665,0.006347448,0.097861069,6003.352164,0.805035948,-30.35851463
J12ACSA22,South East Hill,0.6824941320000001,0.1037071350377465,ACSA,214,49,35,4.76,2.88,3.37,520,4.5,0.611713315,46.61966667,0.441786467,38.1343874,0.059666667,7.19,26.09415057,1.070771589,57.83790824,201.8135267,14134.2452,189.4779278,34,14.6,0.309016994,-0.951056516,222,26.67,-11.17,13.12,4.77,3933.904901,15.5,0.733307393,43.15736842,42.32978451,45.46400025,2.9,9.772248731,-1.286969686,0.026085845,26.85374368,420.0068599,0.012457811,0.075532923,6126.99554,0.796565796,-30.44704468
J12ACSP5,South East Hill,1.5838255719999998,0.491652700106453,ACSP,214,16,5,3.31,2,2,466,3.3,0.629144852,48.09646667,0.917585906,25.43864566,0.105333333,4.936,11.678960915400001,0.4825617246,18.8224605992,86.530094604,1616.67798042,40.325228960000004,33,35,0.173648178,-0.984807753,222,26.67,-11.17,13.12,5.6,2491.920762,10.5,0.520830527,37.13263158,32.48667649,47.66448922,2.6486,23.6168195,-4.168115044,0.020527462,49.33750667,727.9098011,0.009911171,0.084814883,7034.151125,0.751398768,-30.99303467
J12ACSP6,South East Hill,0.10007523799999998,0.24170564232246697,ACSP,214,14,5,3.31,2,2,250,1.9,0.5740180596,51.70015,1.263365041,13.57633978,0.105333333,6.02,8.020810861600001,0.3869018946,22.188914574000002,112.792047122,3409.5141222,101.131987642,23,33.3,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.36,2319.218352,28,0.492865497,35.68266667,24.0639713,47.7578,2.1688,17.82658717,-4.07002552,0.0289815,47.60588338,671.0938253,0.007592138,0.09875028,6583.810822,0.717947561,-31.01059898
J12BEA9,South East Hill,0.43677348400000005,0.07153644691951665,BEA,214,51,25,3.17,3,2,490,3.6,0.645381984,56.94745,9.173458591,7.98773559,0.194333333,5.49,8.10167674,0.235847458,27.22847543,171.9086865,3330.101751,159.8065446,5,29.4,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.4,3221.141398,8.7,0.536204082,42.75666667,28.51407188,46.1042,3.0052,21.69067983,-3.369336185,0.027157844,36.51406789,706.0798152,0.006083869,0.086335217,6673.746305,0.984835483,-31.63055786
J12COA7,South East Hill,0.8412382440000001,0.2018394760974137,COA,214,23,10,4,1.77,1.02,465,3.1,0.526857143,38.2114,3.62691112,29.64537523,0.066333333,6.71,18.80268711,0.915020946,53.65582115,240.6224366,10052.36002,176.7487047,40,29.1,0.882947593,-0.469471563,222,26.67,-11.17,13.12,5.39,3835.729681,17.85714286,0.607817237,17.09964286,32.749222,42.7689,2.5044,14.46896045,-0.326279101,0.027129899,62.30020409,921.1620478,0.006810374,0.156394836,7710.168742,0.753037627,-31.99868568
J12FRA23,South East Hill,0.543981652,0.09618730272099658,FRA,214,32,30,2.46,2.38,2.59,782,6.3,0.550675676,63.9067,4.160492916,17.78347781,0.111333333,6.87,11.48221442,0.632211538,22.9190595,192.3084197,8217.364124,100.4288613,21,39.6,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.22,12859.39457,69,0.778308648,145.63,33.5233125,44.7849,2.5957,15.72869648,-2.201580391,0.033457787,211.7868195,152.9282956,0.224798079,0.174634422,12241.33144,0.036775538,-31.32747849
J12OSV23,South East Hill,0.21705078999999997,0.4414074010886739,OSV,214,17,12,4.58,3.25,1.07,306,1.2,0.654953636,66.89305,0.830483765,14.64268943,0.2,6.85,14.37498738,0.584867076,15.78413005,133.3328046,7731.415985,87.98882682,46,34,0.882947593,-0.469471563,222,26.67,-11.17,13.12,4.86,4006.367603,7.433333333,0.684597156,13.73934426,28.99415344,46.0314,2.2327,13.57853598,-1.747870312,0.025291141,56.04833807,1075.156402,0.005498073,0.130204208,3958.112769,0.976965024,-32.11829193
J12TIA16,South East Hill,NA,NA,TIA,214,13,35,3.98,2.88,1.26,283,1.8,0.549439348,68.6518,2.83277993,12.05226326,0.117333333,5.138,17.4462498068,0.7354269696,85.325925462,120.297425714,3648.7133714,128.905249954,15,33.1,0.309016994,-0.951056516,222,26.67,-11.17,13.12,4.92,944.4841736,16,0.341689373,71.30625,30.01139451,45.0537,3.8385,25.48766103,-1.205208845,0.03128585,78.24738387,1122.57166,0.009986578,0.174666691,6012.0020270000005,0.73065836,-29.97691383
J13ACSA24,Chemin des Lots I,0.648940012,0.14767183583582616,ACSA,201,28,35,4.76,2.88,3.37,500,3.6,0.5408243386,40.553,0.785398163,21.86347107,0.144333333,3.82,31.84361384,1.698529412,35.44282321,139.1158357,1835.715752,110.0088422,15,23.6,-0.615661475,0.788010754,119,25.5,-9,13.95,8.22,5585.364453,15.28571429,0.711910472,61.291,35.92697133,48.86651541,3.2564,11.56210048,-1.474483395,0.03625565,27.11491109,465.6328105,0.013038624,0.076618603,4796.778911,0.874591999,-31.44696838
J13ACSP7,Chemin des Lots I,1.0540824819999999,0.38228398368939337,ACSP,201,15,5,3.31,2,2,538,3.6,0.634677944,49.6345,0.924157103,16.33559665,0.088333333,4.07,28.3956923,1.627406932,47.72662146,336.5547391,3842.582567,210.5718137,10,20.4,-0.615661475,0.788010754,119,25.5,-9,13.95,6.28,4123.382665,11.66666667,0.603115385,32.53529412,30.10305551,48.31938964,2.8408,20.36875688,-1.763466263,0.015390751,56.06808741,783.8481612,0.00835941,0.108019929,6514.697841,0.712010359,-30.39402229
J13ACSP8,Chemin des Lots I,0.35472629799999994,0.2518564330701522,ACSP,201,12,5,3.31,2,2,522,4,0.622037422,48.064,0.938653464,25.71694171,0.142333333,5.35,31.03047028,1.768477574,7.846622403,291.8152626,6638.058396,288.7491965,9,13.8,-0.241921896,0.970295726,119,25.5,-9,13.95,6.9,5230.819322,21,0.548335604,34.16666667,24.02439024,48.7557,2.6311,18.72190079,-2.882875519,0.022985235,37.26393125,628.6783712,0.004501377,0.075093551,5925.892762,0.859231043,-31.60252937
J13FAG20,Chemin des Lots I,0.25256802600000017,0.046830065104464476,FAG,201,43,25,4.75,1.5,1.5,777,4.7,0.6503779104,71.54691667,2.099893081,43.02827562,0.174333333,5.12,25.01820406,1.168788046,27.32556054,209.8451102,7401.325858,313.6295704,25,11.5,-0.241921896,0.970295726,119,25.5,-9,13.95,5.84,13471.34555,10.71428571,0.727398031,37.70390244,25.07342191,46.1461,2.8689,9.4456574,-0.960306582,0.011603275,64.38250163,1218.153371,0.009217378,0.187226247,5654.656433,0.963616513,-31.12585052
J13FRA24,Chemin des Lots I,0.271635492,0.23727648225682768,FRA,201,20,30,2.46,2.38,2.59,499,3.3,0.5020326556,72.955,2.41096476,40.25531219,0.095333333,4,35.2096651,1.810821182,31.99654576,272.5039582,2778.451671,196.6168717,22,20.6,-0.615661475,0.788010754,119,25.5,-9,13.95,5.56,15432.06759,30,0.68173913,106.242,24.75480507,48.8111,3.0857,11.92744699,-2.285015879,0.030124979,518.068952,90.72661054,0.472520937,0.277465724,27605.34615,0.008919022,-32.89266953
J13OSV26,Chemin des Lots I,0.33696973999999996,0.08198482542982362,OSV,201,27,12,4.58,3.25,1.07,642,5.7,0.6618427358,65.0699625,4.846929209,36.91120551,0.080333333,4.43,44.28803357,1.666666667,49.05569809,484.8451333,8631.105979,471.4713777,23,23.8,-0.241921896,0.970295726,119,25.5,-9,13.95,6.65,6833.020309,8.071428571,0.784013051,17.17127273,28.27131996,45.073,2.4086,9.306032938,-2.535994158,0.038557095,48.90520194,950.3364398,0.009026074,0.082198403,8119.236076,0.989674626,-31.92011078
J13PRS12,Chemin des Lots I,0.09761905599999991,0.07119096384350099,PRS,201,26,22,2.46,3.02,1.06,481,2.8,0.4971723474,57.14171429,1.168051998,34.44954794,0.159333333,3.76,32.79586192,1.550229621,41.76378628,374.5801571,2115.729893,167.7368969,25,21.7,-0.615661475,0.788010754,119,25.5,-9,13.95,8.19,4978.127227,10.28,0.712712934,11.2671831,31.22617098,46.246,3.0374,12.5725813,-1.907054949,0.030264719,29.48211646,564.2210024,0.008836523,0.108489795,4680.952465,0.974676961,-30.63553963
J13PRV11,Chemin des Lots I,0.20240594400000003,0.35211821374353336,PRV,201,15,9,2.59,2.88,1.11,237,1.8,0.5569762638,49.7331,3.357448066,16.72739297,0.074333333,4.07,39.92639289,2.01996117,53.24963466,354.96541,6317.014515,317.129563,19,28.2,-0.241921896,0.970295726,119,25.5,-9,13.95,6.1,2094.310913,7.3,0.682317979,9.06952381,36.01806154,44.0291,2.6569,9.695411652,-2.52251895,0.035311281,42.25643332,776.8771439,0.005708689,0.14080954,4649.980335,0.936331463,-30.93036636
J13QUR22,Chemin des Lots I,0.750130132,0.1426692356134417,QUR,201,26,25,2.75,2.88,1.12,557,3.3,0.6731999414,75.8495,2.60301916,8.541470705,0.098666667,5.1819999999999995,5.8874183242,0.2850931464,8.546814341400001,81.92625388,1077.42504162,60.994624597999994,29.4,22.5,-0.241921896,0.970295726,119,25.5,-9,13.95,7.43,7235.679205,18,0.756962025,46.98538462,49.78634927,46.2621,2.6071,12.53450985,-1.891700821,0.028479907,349.329601,789.0539619,0.094902196,0.17333835,28332.25223,0.115038028,-31.17487129
J13TIA19,Chemin des Lots I,1.7038379059999997,0.24456632635417738,TIA,201,21,35,3.98,2.88,1.26,405,2.3,0.3700354732,61.748,0.582656723,9.506931154,0.100333333,4.43,33.19256581,1.732283465,60.09621163,401.5767067,7560.236205,374.1958183,11,26.1,-0.241921896,0.970295726,119,25.5,-9,13.95,5.44,722.8055419,13.28571429,0.40144005,55.43,25.37735282,45.34640112,3.9354,20.19515274,-1.240915918,0.02690251,72.04761818,1156.327146,0.008758971,0.216759965,4656.409209,0.817393544,-31.7821067
J13ULA10,Chemin des Lots I,0.13069728400000002,0.10963189098676109,ULA,201,39,35,3.14,2.92,2.46,242,2,0.6177125404,74.12768333,1.152450143,27.88136668,0.118666667,3.62,34.86353115,1.764951768,40.38251292,218.0727979,1760.848895,131.4681966,15,23.5,-0.615661475,0.788010754,119,25.5,-9,13.95,4.18,1027.469055,11.4,0.747298852,25.82230769,30.22133516,46.65590721,3.4313,17.64163555,-3.304104471,0.037659678,293.100871,1056.844286,0.049690071,0.185189755,10663.90478,0.183638613,-31.7619384
J14ACP15,Chemin des Lots II,0.3445078800000001,0.3493280684575156,ACP,173,16,10,3.56,2,1,395,2.9,0.5737150371999999,46.74605,3.243751624,13.70197997,0.152333333,5,35.52812932,1.806267806,38.87181053,203.3172283,10142.33332,311.521628,10,5,0.139173101,0.990268069,85,26,-8.67,13.83,5.65,5115.83267,12.375,0.525641026,110.2985714,31.49244259,47.1443,2.553,12.64964795,-3.149855156,0.015921621,41.73657478,456.4228012,0.022339946,0.101027259,7827.635766,0.55695568,-29.22108711
J14ACP16,Chemin des Lots II,0.5115592380000002,0.0868999188579269,ACP,186,36,10,3.56,2,1,695,5.35,0.560836502,53.2196,0.408203156,38.08570948,0.246666667,4.87,23.91879783,1.045865417,7.285121642,155.5781209,3176.584683,111.8939394,26,15,-0.034899497,0.999390827,85,26,-8.67,13.83,4.87,8926.127287,17.5,0.562378378,65.53,22.77158892,47.6154,2.9562,23.62264499,-4.70964138,0.015967414,38.41574794,616.414094,0.006430651,0.094963642,6687.088693,0.817209444,-31.61735474
