Sample ID,Height-DBH Ratio,Estem,Etwig,Branching Distance,Twig Diameter,Twig Wood Density,Stem Wood Density,Leaf Mass Fraction,Leaf Area,LMA,LCC,LNC,LPC,d15N,t/b2,Ks,Ktwig,Huber Value,%Lum,VD,%Sapwood,d13C,Biomass5,pcent.max.Bio5,Symmetric Competition,Asymmetric Competition,Soil Humidity,pH,Organic C,N,P,K,Ca,Mg,Soil Depth,Slope,North Aspect,East Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,%Canopy Opening,Species,Site,Tree Age,Tree Height,julian date 2011,Branch Height,SRL,Root Wood Density,Twig branching angle,Hmax,Shade Tolerance,Drought Tolerance,WaterLogging Tolerance,DBH:DGH,Leaf Area Ratio,Branch Dry Mass,Leaf Thickness,Leaf Density,C.N,C.P,N.P,Kl,Kleaf,Biomass1,pcent.max.Bio1,Total Transmitted Light 
J11AMSP15,165.81818180,6311.33907400,265.89567320,12.16666667,6.13500000,0.60283520,0.88408451,1.12249991,19.60943396,40.63311845,48.80100000,2.43950000,13.04847975,-3.83075462,0.00634209,94.90216515,1779.57621300,0.00816892,0.18294036,9138.54404300,0.95501585,-30.67580421,4.44814727,0.20714678,6.67596229,22.03781230,0.06266667,4.90000000,10.78237192,0.40910671,4.82842698,83.29237887,350.58067190,31.61032766,29.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,3.59000000,AMSP,Gault Parking,30.00000000,456.00000000,190.00000000,2.70000000,NA,NA,38.15300000,12.00000000,NA,NA,NA,0.65476191,274.78965200,4.77951040,0.11080000,0.36672490,20.00450912,3.73997592,0.18695665,516.29161890,1.46809531,0.40485292,0.10669319,1.99000000
J11BEA6,210.96774190,4774.75682900,480.83564110,9.85714286,4.31000000,0.53803359,0.64262295,1.49438669,19.90000000,33.76884422,46.82910000,2.05020000,10.98919808,-2.12705718,0.01956598,86.73651596,1689.66028900,0.00302140,0.10101994,13396.73355000,0.99212761,-30.66197403,NA,NA,10.51246798,3.88664232,0.07533333,NA,NA,NA,NA,NA,NA,NA,15.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,4.63000000,BEA,Gault Parking,15.00000000,327.00000000,190.00000000,2.00000000,52.05867159,0.62009534,64.68420000,25.00000000,3.17000000,3.00000000,2.00000000,0.62000000,193.69646570,2.40500000,0.09640000,0.35029921,22.84123500,4.26137555,0.18656502,846.10895310,3.36006802,NA,NA,2.87000000
J11BEA7,214.85714290,4962.81221500,445.82095000,40.00000000,4.43000000,0.52701882,0.59119196,2.17432647,26.28250000,46.97755160,48.79420000,2.35360000,13.85811754,-1.35881122,0.02394465,15.50386653,301.80420090,0.00637347,0.07399772,9665.43757300,0.99141474,-31.11229691,4.05464931,0.17744553,3.22372233,2.28719824,0.00966667,5.79000000,3.71668159,0.03806228,4.24139457,50.18537924,480.63885790,20.71452784,22.00000000,9.60000000,0.27563736,-0.96126170,200.00000000,26.33000000,-11.17000000,13.03000000,4.39000000,BEA,Gault Parking,14.00000000,376.00000000,190.00000000,2.70000000,143.75055350,0.66108787,69.94883333,25.00000000,3.17000000,3.00000000,2.00000000,0.60344828,463.00316960,2.52400000,0.12460000,0.37702690,20.73173012,3.52098327,0.16983548,291.93060560,0.33800324,0.67705547,0.09290126,3.37000000
J11BEPA15,181.93548390,6515.64378300,400.81172730,41.50000000,4.48000000,0.48456791,0.52941177,1.12222602,23.10789474,52.11251566,48.00970000,3.08910000,14.16067098,-0.75280304,0.03196270,50.06644908,978.96307240,0.00460805,0.14695799,2458.32721800,0.99584014,-30.06918701,6.11551949,0.19254421,2.67686001,5.88054716,0.08300000,4.78000000,10.75241676,0.28197498,4.71314833,100.61484770,607.36937170,47.80125432,14.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,6.08000000,BEPA,Gault Parking,21.00000000,564.00000000,190.00000000,4.90000000,131.04773370,0.55397439,56.73500000,25.00000000,1.54000000,2.02000000,1.25000000,0.70454546,211.43735060,2.92900000,0.15760000,0.33066317,15.54164643,3.39035488,0.21814644,345.10495940,1.53255676,0.65984324,0.09578391,3.84000000
J11BEPO11,128.94736840,1069.78440300,608.80020780,28.20000000,3.81000000,0.53233245,0.52636816,0.89176471,12.41448276,51.63602022,49.67241821,3.31730000,14.09329873,-3.20521894,0.01970656,38.35987793,736.31240510,0.00321695,0.10885396,4383.95696000,0.97758608,-29.74619896,0.06410991,0.05906978,NA,NA,0.13800000,NA,NA,NA,NA,NA,NA,NA,3.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,4.55000000,BEPO,Gault Parking,12.00000000,245.00000000,218.00000000,1.80000000,NA,NA,44.41950000,15.00000000,1.50000000,2.34000000,1.00000000,0.61290323,169.33109240,2.97500000,0.13740000,0.37580801,14.97374920,3.52454164,0.23538137,365.11483760,1.66851724,0.00854736,0.02813020,3.79000000
J11BEPO12,108.48484850,3069.05083600,416.74948140,14.36363636,4.64000000,0.54046706,0.59228473,0.92688782,10.98089286,53.85978892,51.41695267,2.84570000,18.58994924,-0.57481387,0.01367391,72.00436784,1384.22826900,0.00384275,0.11814458,8633.22281800,0.97908181,-30.88110001,1.06898972,1.00000000,5.47650316,4.09960885,0.05500000,5.68000000,5.46920380,0.17478661,3.63212887,69.76471876,882.94190840,39.22350105,21.00000000,9.60000000,0.27563736,-0.96126170,200.00000000,26.33000000,-11.17000000,13.03000000,5.13000000,BEPO,Gault Parking,15.00000000,537.00000000,190.00000000,4.40000000,120.14130880,0.41607565,47.27600000,15.00000000,1.50000000,2.34000000,1.00000000,0.78571429,32.15189873,4.58200000,0.16980000,0.31719546,18.06829696,2.76584686,0.15307734,606.57225170,2.32267803,0.20773502,0.69412397,3.97000000
J11COA5,114.00000000,1395.91942000,333.49318000,19.00000000,4.77000000,0.45706916,0.56814103,0.23932048,20.50904762,28.55882421,45.42620000,2.73280000,12.12922651,-2.54701763,0.02545163,72.48385930,1286.67638600,0.00339678,0.15148794,8783.89537400,0.90406183,-31.74354347,7.73432426,0.72272265,2.35426992,50.58615458,0.06333333,4.94000000,10.69745535,0.39285714,6.04830528,116.61290330,844.07476030,56.06521389,50.00000000,7.70000000,0.50000000,-0.86602540,200.00000000,26.33000000,-11.17000000,13.03000000,6.24000000,COA,Gault Parking,17.00000000,342.00000000,190.00000000,3.00000000,NA,0.47353760,58.21900000,10.00000000,4.00000000,1.77000000,1.02000000,0.64516129,97.50715785,5.23900000,0.10440000,0.27355196,16.62258489,3.74518523,0.22530703,475.68241550,2.53101270,1.82516323,1.00000000,3.11000000
J11COA6,132.57142860,3934.57491300,237.49433770,21.83333333,6.14000000,0.53932208,0.60053333,0.38974366,27.53965517,28.71094973,44.58310000,2.67850000,13.72755983,-1.64249736,0.01820212,35.65739340,550.83379940,0.00723731,0.12143026,5652.91990600,0.78675787,-31.50082573,4.35852116,0.48056787,2.65904402,23.73637214,0.13933333,5.11000000,17.41990098,0.55284553,10.62948652,125.66396560,1502.76557700,78.69184155,30.00000000,11.40000000,0.34202014,-0.93969262,200.00000000,26.33000000,-11.17000000,13.03000000,3.78000000,COA,Gault Parking,19.00000000,464.00000000,190.00000000,3.60000000,24.46606061,0.67016807,51.25570000,10.00000000,4.00000000,1.77000000,1.02000000,0.77777778,135.16364710,6.60177510,0.12840000,0.22360553,16.64480119,3.24770757,0.19511844,290.74149050,0.55047354,0.32684089,0.21130071,1.98000000
J11FAG17,133.33333330,3854.56039100,401.97089080,14.12500000,4.99500000,0.60412080,0.72094262,0.55304457,55.01500000,22.77787876,47.68810000,2.91690000,13.46337806,0.52857818,0.01702141,58.93334037,1087.77213900,0.00678998,0.13552346,7488.63083200,0.94004141,-31.37796219,7.39307799,0.50547271,6.39578552,35.20187288,0.11466667,6.05000000,9.72836592,0.31322537,12.16626727,105.75930910,1347.62749300,66.85433677,20.00000000,17.20000000,0.64278761,-0.76604444,200.00000000,26.33000000,-11.17000000,13.03000000,2.40000000,FAG,Gault Parking,17.00000000,440.00000000,190.00000000,4.00000000,NA,NA,64.54868000,25.00000000,4.75000000,1.50000000,1.50000000,0.71739130,240.37455530,4.77900000,0.07280000,0.31288295,16.34889780,3.54206053,0.21665439,432.74914820,1.13270598,0.96186771,0.23345267,1.08000000
J11POG7,183.61111110,9105.99062100,197.85832450,13.00000000,5.97500000,0.42548901,0.45961732,1.92444983,21.70577778,70.02743765,41.75820000,2.60710000,16.08503237,-1.00392173,0.02007607,115.34462760,2097.16770800,0.00918725,0.17835556,4265.95352100,0.92598916,-29.59481819,11.09677029,0.28479529,9.92898419,1.49777745,0.04233333,5.20000000,9.69761783,0.38028774,6.27047877,101.31524290,1328.29670800,66.94785026,25.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,6.12000000,POG,Gault Parking,16.00000000,661.00000000,190.00000000,5.50000000,NA,NA,59.63975000,20.00000000,1.21000000,2.50000000,2.00000000,0.81818182,268.65634500,4.82631445,0.13320000,0.52573151,16.01710713,2.59609052,0.16208236,646.60963530,1.66662099,0.58081628,0.03610429,3.99000000
J11POT11,172.42424240,6964.81351500,260.54584550,11.00000000,5.72500000,0.51439097,0.57645570,1.71323529,14.92600000,80.27937827,48.85800000,2.83760000,12.35296523,-2.13554724,0.00275609,41.28901846,788.87020710,0.00644598,0.11142297,4849.76649600,0.97306333,-29.32595810,6.05004134,0.23664473,NA,NA,0.07066667,5.62000000,6.30568660,0.20202591,2.15628183,77.40741901,914.79942180,45.39362727,38.00000000,9.60000000,0.27563736,-0.96126170,200.00000000,26.33000000,-11.17000000,13.03000000,3.76000000,POT,Gault Parking,22.00000000,569.00000000,218.00000000,3.50000000,NA,NA,74.54733333,25.00000000,1.21000000,1.77000000,1.77000000,0.73333333,210.83946080,3.26400000,0.15540000,0.51659832,17.21807161,3.95516373,0.22971003,369.33725090,0.73831990,0.55036121,0.07139485,2.33000000
J11POT12,203.44827590,2415.76473500,343.61877470,34.66666667,4.82500000,0.48186981,0.57550158,2.23332299,18.02212121,91.97450944,44.30390000,2.41260000,13.35560988,-2.56526859,0.03443324,30.55874422,587.16774400,0.00498754,0.10885153,5521.06427700,0.97858104,-28.29275307,2.18298769,0.07998824,0.25345532,2.32029422,0.01600000,6.05000000,3.36747399,0.05068954,6.43056794,70.20700423,704.02441070,31.14310067,14.00000000,9.60000000,0.27563736,-0.96126170,200.00000000,26.33000000,-11.17000000,13.03000000,14.00000000,POT,Gault Parking,12.00000000,295.00000000,190.00000000,2.60000000,NA,NA,72.05200000,25.00000000,1.21000000,1.77000000,1.77000000,0.50877193,239.53459510,3.22300000,0.17260000,0.53287665,18.36354970,3.31725023,0.18064319,280.71416060,0.79534844,0.34182924,0.04153983,4.90000000
J11PRP7,80.48780488,595.16911730,347.95072880,8.60000000,5.22500000,0.57220091,0.66452680,1.44550669,14.47914530,47.96170147,45.42804262,2.86320000,16.47467355,-2.95537963,0.02508724,148.03099830,2808.09463600,0.01448076,0.20614978,9343.96791900,0.96611579,-29.22596962,8.00630804,0.61774381,1.75422346,2.78035122,0.05100000,5.76000000,7.01421433,0.26226158,4.47133193,84.66759842,1298.14399900,62.42616159,19.00000000,13.00000000,0.50000000,-0.86602540,200.00000000,26.33000000,-11.17000000,13.03000000,3.96000000,PRP,Gault Parking,25.00000000,330.00000000,190.00000000,2.50000000,NA,NA,60.16791667,12.00000000,NA,NA,NA,0.56164384,301.28842480,6.79900000,0.13100000,0.36611986,15.86617862,2.75744721,0.17379404,718.15956720,1.23611817,0.74774480,0.15565352,1.49000000
J11PRP8,177.50000000,6540.18744500,572.37307270,8.35714286,4.10500000,0.58098339,0.64181406,1.76168078,15.33710526,49.24417906,49.55314892,2.56250000,16.78842288,-3.21638312,0.02560363,71.29450175,1326.32221400,0.00803390,0.13321151,8351.24062100,0.94746487,-30.58699638,3.00604177,0.23549750,0.23091094,8.80121284,0.06800000,5.72000000,4.16678465,0.09690393,7.37992932,54.24504561,1040.49980900,40.30247295,20.00000000,13.00000000,0.50000000,-0.86602540,200.00000000,26.33000000,-11.17000000,13.03000000,1.88000000,PRP,Gault Parking,13.00000000,497.00000000,190.00000000,3.60000000,NA,NA,50.77530000,12.00000000,NA,NA,NA,0.70000000,344.39322670,3.18900000,0.10320000,0.47717228,19.33781421,2.95162621,0.15263495,535.20647570,1.67228978,0.54740583,0.11569914,0.63000000
J11QUR19,173.22580650,8602.65206700,187.75397910,31.50000000,7.13500000,0.57575180,0.79150968,1.03036410,93.28166667,52.99362147,47.35820000,2.71660000,11.45589480,1.19793022,0.03634079,281.27476970,1198.12027300,0.06714133,0.10960146,42423.96939000,0.21694006,-29.63957771,6.79996964,0.25897007,18.77198573,5.47757742,0.62333333,NA,NA,NA,NA,NA,NA,NA,23.00000000,7.80000000,0.17364818,-0.98480775,200.00000000,26.33000000,-11.17000000,13.03000000,4.11000000,QUR,Gault Parking,17.00000000,537.00000000,190.00000000,3.70000000,NA,NA,7.53800000,25.00000000,2.75000000,2.88000000,1.12000000,0.71264368,181.37352040,12.22868694,0.11540000,0.45921682,17.43289406,4.13395905,0.23713556,2511.88887800,0.83007442,0.74754865,0.12817399,2.48000000
J11QUR20,183.44827590,2827.12313700,302.77915960,11.71428571,5.40500000,0.53281394,0.82450930,1.15040121,50.35888889,39.04198751,48.04770000,2.51860000,11.43280644,-0.45805687,0.01166600,313.63799010,625.08363870,0.10685034,0.15978914,39892.44825000,0.10150316,-31.12436089,1.51992570,0.05356798,1.50775014,5.43679505,0.09400000,5.07333333,8.50558409,0.39360025,6.38065587,117.83563080,812.92214830,50.73948022,26.00000000,9.60000000,0.27563736,-0.96126170,200.00000000,26.33000000,-11.17000000,13.03000000,1.06000000,QUR,Gault Parking,15.00000000,266.00000000,190.00000000,1.70000000,NA,NA,45.66505000,25.00000000,2.75000000,2.88000000,1.12000000,0.53703704,289.47555160,5.10865250,0.11900000,0.32808393,19.07714603,4.20261641,0.22029587,1933.24601900,0.47887524,0.19045395,0.03021974,0.80000000
J11SOA10,171.25000000,6631.90616100,423.45498020,12.66666667,4.58500000,0.53622138,0.67028674,0.53063803,19.17266667,47.28954414,45.98140000,2.47350000,15.18300142,-2.58542334,0.03291530,18.88733802,324.28699310,0.00383100,0.09925968,3453.80561200,0.87443773,-31.20744713,6.34729579,0.42863656,4.02271802,3.18816863,0.07000000,5.42000000,6.53506462,0.22429792,6.44414542,189.70251840,1495.92649300,82.37754655,32.00000000,15.50000000,0.30901699,-0.95105652,200.00000000,26.33000000,-11.17000000,13.03000000,2.96000000,SOA,Gault Parking,19.00000000,548.00000000,190.00000000,3.30000000,NA,NA,50.07950000,10.00000000,2.59000000,1.77000000,1.27000000,0.68085106,109.99368290,3.16600000,0.10540000,0.44866740,18.58960986,3.02847894,0.16291245,189.67880730,0.59698542,0.95066714,0.38826514,1.39000000
J12ACP11,84.85714286,895.30411670,231.20999350,13.30000000,5.67000000,0.44774518,0.54448399,0.51155030,70.37235294,25.78719918,46.12490000,2.03420000,18.89869388,-2.79781805,0.01817116,35.02319349,575.43813000,0.00914365,0.07363017,8276.47955400,0.83678330,-29.74419983,2.66968131,0.23212532,1.31110872,35.35226424,0.07900000,5.25000000,28.12839421,0.87885544,42.07654584,244.37066970,5549.61004800,202.27302370,26.00000000,0.00000000,0.00000000,0.00000000,222.00000000,26.67000000,-11.17000000,13.12000000,4.57000000,ACP,South East Hill,29.00000000,297.00000000,214.00000000,2.20000000,117.55652170,0.59060807,48.88080000,10.00000000,3.56000000,2.00000000,1.00000000,0.76086957,195.07949760,7.21336695,0.09420000,0.27374946,22.67471242,2.44063956,0.10763707,475.01756900,0.45054161,0.17487130,0.04238323,2.02000000
J12ACP12,138.77551020,1877.63329100,327.06878600,29.66666667,4.72500000,0.43984628,0.57552239,0.45502367,87.69400000,25.61178644,44.63550000,2.76030000,24.82237046,-4.66202457,0.02066084,38.49389995,608.46706650,0.00634745,0.09786107,6003.35216400,0.80503595,-30.35851463,NA,NA,0.96271382,31.56699692,0.04533333,5.00666667,23.52582969,0.91409503,58.51609020,232.24163220,7955.01185800,227.96469290,37.00000000,31.00000000,0.88294759,-0.46947156,222.00000000,26.67000000,-11.17000000,13.12000000,6.17000000,ACP,South East Hill,30.00000000,340.00000000,214.00000000,2.00000000,NA,NA,59.15780000,10.00000000,3.56000000,2.00000000,1.00000000,0.61250000,173.14308260,3.80200000,0.10260000,0.24962755,16.17052494,1.79819651,0.11120211,401.95325720,0.91047946,NA,NA,3.00000000
J12ACSA22,125.30120480,3933.90490100,377.88482380,15.50000000,4.77000000,0.51791014,0.73330739,1.23728060,43.15736842,42.32978451,45.46400025,2.90000000,9.77224873,-1.28696969,0.02608585,26.85374368,420.00685990,0.01245781,0.07553292,6126.99554000,0.79656580,-30.44704468,3.41247065,0.05870948,0.44178647,38.13438740,0.05966667,7.19000000,26.09415057,1.07077159,57.83790824,201.81352670,14134.24520000,189.47792780,34.00000000,14.60000000,0.30901699,-0.95105652,222.00000000,26.67000000,-11.17000000,13.12000000,4.77000000,ACSA,South East Hill,49.00000000,520.00000000,214.00000000,4.50000000,14.17842857,0.61171332,46.61966667,35.00000000,4.76000000,2.88000000,3.37000000,0.70338983,287.84270160,4.50100000,0.10980000,0.38551716,15.50296674,4.65235807,0.30009470,354.90977870,0.34057971,0.95830338,0.06989387,3.78000000
J12ACSP5,119.48717950,2491.92076200,245.12379150,10.50000000,5.25000000,0.40696989,0.52083053,1.23511577,37.13263158,32.48667649,47.66448922,2.64860000,23.61681950,-4.16811504,0.02052746,49.33750667,727.90980110,0.00991117,0.08481488,7034.15112500,0.75139877,-30.99303467,7.91912786,0.08421976,0.91758591,25.43864566,0.10533333,NA,NA,NA,NA,NA,NA,NA,33.00000000,35.00000000,0.17364818,-0.98480775,222.00000000,26.67000000,-11.17000000,13.12000000,5.60000000,ACSP,South East Hill,16.00000000,466.00000000,214.00000000,3.30000000,162.03759120,0.62914485,48.09646667,5.00000000,3.31000000,2.00000000,2.00000000,0.73584906,367.75909590,3.62800000,0.10760000,0.30192079,17.99610708,2.01824336,0.11214889,576.73254830,0.94139868,0.65722963,0.04894988,2.89000000
