SampleID,Height.DBH.Ratio,Estem,Etwig,Branching.Distance,Twig.Diameter,Twig.Wood.Density,Stem.Wood.Density,Leaf.Mass.Fraction,Leaf.Area,LMA,LCC,LNC,LPC,d15N,t.b2,Ks,Ktwig,Huber.Value,X.Lum,VD,X.Sapwood,d13C,Biomass5,pcent.max.Bio5,Symmetric.Competition,Asymmetric.Competition,Soil.Humidity,SoilpH,Organic C,N,P,K,Ca,Mg,Soil.Depth,Slope,North.Aspect,East.Aspect,Elevation,Summer.Max,Fall.Min,Mean.Temp,X.Canopy Opening,Species,Site,Tree.Age,Tree.Height,julian.date.2011,Branch.Height,SRL,Root.Wood.Density,Twig.branching.angle,Hmax,Shade.Tolerance,Drought.Tolerance,WaterLogging Tolerance,DBH.DGH,Leaf Area.Ratio,Branch.Dry.Mass,Leaf.Thickness,Leaf.Density,C.N,C.P,N.P,Kl,Kleaf,Biomass1,pcent.max.Bio1,Total.Transmitted.Light 
J11AMSP15,165.8181818,6311.339074,265.8956732,12.16666667,6.135,0.602835203,0.884084507,1.122499911,19.60943396,40.63311845,48.801,2.4395,13.04847975,-3.830754623,0.006342093,94.90216515,1779.576213,0.008168922,0.182940362,9138.544043,0.955015854,-30.67580421,4.448147266,0.207146782,6.67596229,22.0378123,0.062666667,4.9,10.78237192,0.409106708,4.828426981,83.29237887,350.5806719,31.61032766,29,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,3.59,AMSP,Gault Parking,30,456,190,2.7,NA,NA,38.153,12,NA,NA,NA,0.654761905,274.789652,4.779510401,0.1108,0.366724896,20.00450912,3.739975916,0.186956645,516.2916189,1.468095312,0.404852922,0.106693189,1.99
J11BEA6,210.9677419,4774.756829,480.8356411,9.857142857,4.31,0.538033594,0.642622951,1.494386694,19.9,33.76884422,46.8291,2.0502,10.98919808,-2.12705718,0.019565983,86.73651596,1689.660289,0.003021396,0.101019942,13396.73355,0.992127606,-30.66197403,NA,NA,10.51246798,3.88664232,0.075333333,NA,NA,NA,NA,NA,NA,NA,15,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.63,BEA,Gault Parking,15,327,190,2,52.05867159,0.620095343,64.6842,25,3.17,3,2,0.62,193.6964657,2.405,0.0964,0.350299214,22.841235,4.261375549,0.186565024,846.1089531,3.360068021,NA,NA,2.87
J11BEA7,214.8571429,4962.812215,445.82095,40,4.43,0.527018823,0.591191958,2.174326466,26.2825,46.9775516,48.7942,2.3536,13.85811754,-1.358811216,0.023944652,15.50386653,301.8042009,0.006373468,0.073997719,9665.437573,0.991414736,-31.11229691,4.054649309,0.17744553,3.223722332,2.287198241,0.009666667,5.79,3.716681586,0.038062284,4.241394567,50.18537924,480.6388579,20.71452784,22,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,4.39,BEA,Gault Parking,14,376,190,2.7,143.7505535,0.661087866,69.94883333,25,3.17,3,2,0.603448276,463.0031696,2.524,0.1246,0.377026899,20.73173012,3.520983269,0.169835477,291.9306056,0.338003241,0.677055471,0.092901261,3.37
J11BEPA15,181.9354839,6515.643783,400.8117273,41.5,4.48,0.484567909,0.529411765,1.122226016,23.10789474,52.11251566,48.0097,3.0891,14.16067098,-0.752803044,0.031962697,50.06644908,978.9630724,0.004608051,0.146957987,2458.327218,0.995840144,-30.06918701,6.115519489,0.19254421,2.676860013,5.880547158,0.083,4.78,10.75241676,0.281974975,4.713148331,100.6148477,607.3693717,47.80125432,14,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,6.08,BEPA,Gault Parking,21,564,190,4.9,131.0477337,0.553974385,56.735,25,1.54,2.02,1.25,0.704545455,211.4373506,2.929,0.1576,0.33066317,15.54164643,3.390354884,0.218146443,345.1049594,1.532556756,0.659843235,0.095783912,3.84
J11BEPO11,128.9473684,1069.784403,608.8002078,28.2,3.81,0.532332454,0.526368159,0.891764706,12.41448276,51.63602022,49.67241821,3.3173,14.09329873,-3.205218935,0.019706561,38.35987793,736.3124051,0.003216945,0.108853957,4383.95696,0.977586084,-29.74619896,0.064109908,0.059069778,NA,NA,0.138,NA,NA,NA,NA,NA,NA,NA,3,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.55,BEPO,Gault Parking,12,245,218,1.8,NA,NA,44.4195,15,1.5,2.34,1,0.612903226,169.3310924,2.975,0.1374,0.375808007,14.9737492,3.524541639,0.235381373,365.1148376,1.668517241,0.008547355,0.028130197,3.79
J11BEPO12,108.4848485,3069.050836,416.7494814,14.36363636,4.64,0.54046706,0.592284733,0.926887822,10.98089286,53.85978892,51.41695267,2.8457,18.58994924,-0.574813867,0.013673912,72.00436784,1384.228269,0.003842745,0.118144581,8633.222818,0.979081811,-30.88110001,1.068989717,1,5.47650316,4.099608852,0.055,5.68,5.469203799,0.174786605,3.632128873,69.76471876,882.9419084,39.22350105,21,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,5.13,BEPO,Gault Parking,15,537,190,4.4,120.1413088,0.41607565,47.276,15,1.5,2.34,1,0.785714286,32.15189873,4.582,0.1698,0.317195459,18.06829696,2.765846857,0.153077341,606.5722517,2.32267803,0.207735018,0.694123971,3.97
J11COA5,114,1395.91942,333.49318,19,4.77,0.457069157,0.568141026,0.239320481,20.50904762,28.55882421,45.4262,2.7328,12.12922651,-2.547017632,0.025451634,72.4838593,1286.676386,0.003396777,0.151487941,8783.895374,0.904061827,-31.74354347,7.73432426,0.722722645,2.354269924,50.58615458,0.063333333,4.94,10.69745535,0.392857143,6.048305276,116.6129033,844.0747603,56.06521389,50,7.7,0.5,-0.866025404,200,26.33,-11.17,13.03,6.24,COA,Gault Parking,17,342,190,3,NA,0.473537604,58.219,10,4,1.77,1.02,0.64516129,97.50715785,5.239,0.1044,0.273551956,16.62258489,3.745185231,0.22530703,475.6824155,2.531012702,1.82516323,1,3.11
J11COA6,132.5714286,3934.574913,237.4943377,21.83333333,6.14,0.539322083,0.600533333,0.389743661,27.53965517,28.71094973,44.5831,2.6785,13.72755983,-1.642497358,0.018202124,35.6573934,550.8337994,0.007237312,0.121430263,5652.919906,0.786757874,-31.50082573,4.358521162,0.480567872,2.659044022,23.73637214,0.139333333,5.11,17.41990098,0.552845528,10.62948652,125.6639656,1502.765577,78.69184155,30,11.4,0.342020143,-0.939692621,200,26.33,-11.17,13.03,3.78,COA,Gault Parking,19,464,190,3.6,24.46606061,0.670168067,51.2557,10,4,1.77,1.02,0.777777778,135.1636471,6.601775103,0.1284,0.223605527,16.64480119,3.247707571,0.195118436,290.7414905,0.55047354,0.326840893,0.211300714,1.98
J11FAG17,133.3333333,3854.560391,401.9708908,14.125,4.995,0.604120802,0.720942623,0.55304457,55.015,22.77787876,47.6881,2.9169,13.46337806,0.528578176,0.017021405,58.93334037,1087.772139,0.006789977,0.135523456,7488.630832,0.940041406,-31.37796219,7.393077987,0.505472709,6.39578552,35.20187288,0.114666667,6.05,9.728365915,0.313225371,12.16626727,105.7593091,1347.627493,66.85433677,20,17.2,0.64278761,-0.766044443,200,26.33,-11.17,13.03,2.4,FAG,Gault Parking,17,440,190,4,NA,NA,64.54868,25,4.75,1.5,1.5,0.717391304,240.3745553,4.779,0.0728,0.31288295,16.3488978,3.542060527,0.216654393,432.7491482,1.132705979,0.961867706,0.233452673,1.08
J11POG7,183.6111111,9105.990621,197.8583245,13,5.975,0.42548901,0.459617321,1.924449825,21.70577778,70.02743765,41.7582,2.6071,16.08503237,-1.003921733,0.020076068,115.3446276,2097.167708,0.009187247,0.178355564,4265.953521,0.925989156,-29.59481819,11.09677029,0.284795289,9.928984189,1.49777745,0.042333333,5.2,9.697617834,0.380287739,6.270478768,101.3152429,1328.296708,66.94785026,25,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,6.12,POG,Gault Parking,16,661,190,5.5,NA,NA,59.63975,20,1.21,2.5,2,0.818181818,268.656345,4.826314451,0.1332,0.525731514,16.01710713,2.596090517,0.16208236,646.6096353,1.666620991,0.580816275,0.036104287,3.99
J11POT11,172.4242424,6964.813515,260.5458455,11,5.725,0.51439097,0.576455696,1.713235294,14.926,80.27937827,48.858,2.8376,12.35296523,-2.135547237,0.002756092,41.28901846,788.8702071,0.006445975,0.111422965,4849.766496,0.973063329,-29.3259581,6.050041339,0.236644729,NA,NA,0.070666667,5.62,6.305686596,0.202025905,2.156281834,77.40741901,914.7994218,45.39362727,38,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,3.76,POT,Gault Parking,22,569,218,3.5,NA,NA,74.54733333,25,1.21,1.77,1.77,0.733333333,210.8394608,3.264,0.1554,0.516598316,17.21807161,3.955163726,0.229710029,369.3372509,0.738319904,0.550361205,0.071394851,2.33
J11POT12,203.4482759,2415.764735,343.6187747,34.66666667,4.825,0.481869814,0.575501584,2.233322991,18.02212121,91.97450944,44.3039,2.4126,13.35560988,-2.565268593,0.034433242,30.55874422,587.167744,0.004987544,0.108851534,5521.064277,0.978581038,-28.29275307,2.182987688,0.079988244,0.253455322,2.32029422,0.016,6.05,3.367473993,0.050689539,6.430567944,70.20700423,704.0244107,31.14310067,14,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,14,POT,Gault Parking,12,295,190,2.6,NA,NA,72.052,25,1.21,1.77,1.77,0.50877193,239.5345951,3.223,0.1726,0.532876648,18.3635497,3.317250233,0.180643192,280.7141606,0.795348443,0.341829235,0.041539826,4.9
J11PRP7,80.48780488,595.1691173,347.9507288,8.6,5.225,0.572200906,0.664526803,1.445506692,14.4791453,47.96170147,45.42804262,2.8632,16.47467355,-2.955379629,0.025087238,148.0309983,2808.094636,0.014480761,0.206149778,9343.967919,0.966115794,-29.22596962,8.006308037,0.617743811,1.754223455,2.780351223,0.051,5.76,7.014214332,0.26226158,4.471331932,84.66759842,1298.143999,62.42616159,19,13,0.5,-0.866025404,200,26.33,-11.17,13.03,3.96,PRP,Gault Parking,25,330,190,2.5,NA,NA,60.16791667,12,NA,NA,NA,0.561643836,301.2884248,6.799,0.131,0.366119859,15.86617862,2.75744721,0.173794036,718.1595672,1.236118168,0.747744801,0.15565352,1.49
J11PRP8,177.5,6540.187445,572.3730727,8.357142857,4.105,0.580983392,0.641814059,1.761680778,15.33710526,49.24417906,49.55314892,2.5625,16.78842288,-3.216383123,0.025603627,71.29450175,1326.322214,0.008033904,0.133211509,8351.240621,0.947464868,-30.58699638,3.006041766,0.235497497,0.230910939,8.801212843,0.068,5.72,4.166784647,0.096903926,7.379929324,54.24504561,1040.499809,40.30247295,20,13,0.5,-0.866025404,200,26.33,-11.17,13.03,1.88,PRP,Gault Parking,13,497,190,3.6,NA,NA,50.7753,12,NA,NA,NA,0.7,344.3932267,3.189,0.1032,0.477172278,19.33781421,2.951626206,0.152634945,535.2064757,1.672289783,0.54740583,0.115699142,0.63
J11QUR19,173.2258065,8602.652067,187.7539791,31.5,7.135,0.575751802,0.791509677,1.030364099,93.28166667,52.99362147,47.3582,2.7166,11.4558948,1.197930219,0.036340788,281.2747697,1198.120273,0.067141326,0.109601455,42423.96939,0.216940057,-29.63957771,6.799969641,0.258970068,18.77198573,5.477577423,0.623333333,NA,NA,NA,NA,NA,NA,NA,23,7.8,0.173648178,-0.984807753,200,26.33,-11.17,13.03,4.11,QUR,Gault Parking,17,537,190,3.7,NA,NA,7.538,25,2.75,2.88,1.12,0.712643678,181.3735204,12.22868694,0.1154,0.459216824,17.43289406,4.133959053,0.237135558,2511.888878,0.830074416,0.747548648,0.128173986,2.48
J11QUR20,183.4482759,2827.123137,302.7791596,11.71428571,5.405,0.532813938,0.824509298,1.150401207,50.35888889,39.04198751,48.0477,2.5186,11.43280644,-0.458056865,0.011665998,313.6379901,625.0836387,0.106850335,0.159789143,39892.44825,0.101503164,-31.12436089,1.519925695,0.053567975,1.507750139,5.436795046,0.094,5.073333333,8.505584088,0.39360025,6.380655869,117.8356308,812.9221483,50.73948022,26,9.6,0.275637356,-0.961261696,200,26.33,-11.17,13.03,1.06,QUR,Gault Parking,15,266,190,1.7,NA,NA,45.66505,25,2.75,2.88,1.12,0.537037037,289.4755516,5.108652499,0.119,0.328083929,19.07714603,4.202616413,0.220295866,1933.246019,0.478875241,0.19045395,0.030219737,0.8
J11SOA10,171.25,6631.906161,423.4549802,12.66666667,4.585,0.53622138,0.670286738,0.530638029,19.17266667,47.28954414,45.9814,2.4735,15.18300142,-2.585423336,0.0329153,18.88733802,324.2869931,0.003830998,0.099259677,3453.805612,0.874437728,-31.20744713,6.347295788,0.428636562,4.022718017,3.188168633,0.07,5.42,6.535064624,0.224297924,6.444145423,189.7025184,1495.926493,82.37754655,32,15.5,0.309016994,-0.951056516,200,26.33,-11.17,13.03,2.96,SOA,Gault Parking,19,548,190,3.3,NA,NA,50.0795,10,2.59,1.77,1.27,0.680851064,109.9936829,3.166,0.1054,0.448667402,18.58960986,3.028478936,0.162912453,189.6788073,0.596985416,0.950667143,0.388265141,1.39
J12ACP11,84.85714286,895.3041167,231.2099935,13.3,5.67,0.447745181,0.544483986,0.511550297,70.37235294,25.78719918,46.1249,2.0342,18.89869388,-2.79781805,0.018171156,35.02319349,575.43813,0.009143648,0.073630171,8276.479554,0.836783297,-29.74419983,2.669681313,0.232125318,1.31110872,35.35226424,0.079,5.25,28.12839421,0.878855444,42.07654584,244.3706697,5549.610048,202.2730237,26,0,0,0,222,26.67,-11.17,13.12,4.57,ACP,South East Hill,29,297,214,2.2,117.5565217,0.590608067,48.8808,10,3.56,2,1,0.760869565,195.0794976,7.213366946,0.0942,0.273749461,22.67471242,2.440639564,0.107637068,475.017569,0.450541607,0.174871304,0.042383225,2.02
J12ACP12,138.7755102,1877.633291,327.068786,29.66666667,4.725,0.439846282,0.575522388,0.455023672,87.694,25.61178644,44.6355,2.7603,24.82237046,-4.662024574,0.020660844,38.49389995,608.4670665,0.006347448,0.097861069,6003.352164,0.805035948,-30.35851463,NA,NA,0.96271382,31.56699692,0.045333333,5.006666667,23.52582969,0.914095026,58.5160902,232.2416322,7955.011858,227.9646929,37,31,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.17,ACP,South East Hill,30,340,214,2,NA,NA,59.1578,10,3.56,2,1,0.6125,173.1430826,3.802,0.1026,0.249627548,16.17052494,1.798196513,0.111202111,401.9532572,0.910479455,NA,NA,3
J12ACSA22,125.3012048,3933.904901,377.8848238,15.5,4.77,0.517910135,0.733307393,1.237280604,43.15736842,42.32978451,45.46400025,2.9,9.772248731,-1.286969686,0.026085845,26.85374368,420.0068599,0.012457811,0.075532923,6126.99554,0.796565796,-30.44704468,3.412470652,0.058709477,0.441786467,38.1343874,0.059666667,7.19,26.09415057,1.070771589,57.83790824,201.8135267,14134.2452,189.4779278,34,14.6,0.309016994,-0.951056516,222,26.67,-11.17,13.12,4.77,ACSA,South East Hill,49,520,214,4.5,14.17842857,0.611713315,46.61966667,35,4.76,2.88,3.37,0.703389831,287.8427016,4.501,0.1098,0.385517163,15.50296674,4.652358071,0.300094695,354.9097787,0.340579705,0.958303381,0.069893872,3.78
J12ACSP5,119.4871795,2491.920762,245.1237915,10.5,5.25,0.406969885,0.520830527,1.235115766,37.13263158,32.48667649,47.66448922,2.6486,23.6168195,-4.168115044,0.020527462,49.33750667,727.9098011,0.009911171,0.084814883,7034.151125,0.751398768,-30.99303467,7.919127859,0.084219758,0.917585906,25.43864566,0.105333333,NA,NA,NA,NA,NA,NA,NA,33,35,0.173648178,-0.984807753,222,26.67,-11.17,13.12,5.6,ACSP,South East Hill,16,466,214,3.3,162.0375912,0.629144852,48.09646667,5,3.31,2,2,0.735849057,367.7590959,3.628,0.1076,0.301920785,17.99610708,2.018243363,0.112148886,576.7325483,0.941398677,0.657229626,0.048949879,2.89
J12ACSP6,185.1851852,2319.218352,273.5337575,28,5.23,0.450684384,0.492865497,0.526414588,35.68266667,24.0639713,47.7578,2.1688,17.82658717,-4.07002552,0.0289815,47.60588338,671.0938253,0.007592138,0.09875028,6583.810822,0.717947561,-31.01059898,0.500376188,0.005893096,1.263365041,13.57633978,0.105333333,NA,NA,NA,NA,NA,NA,NA,23,33.3,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.36,ACSP,South East Hill,14,250,214,1.9,NA,NA,51.70015,5,3.31,2,2,0.642857143,213.8213998,3.729,0.0996,0.241606138,22.02037993,2.679020922,0.121660976,482.6108923,0.934096025,0.087949868,0.00725404,3.05
J12BEA9,113.9534884,3221.141398,489.5385231,8.7,4.165,0.511534684,0.536204082,0.873369938,42.75666667,28.51407188,46.1042,3.0052,21.69067983,-3.369336185,0.027157844,36.51406789,706.0798152,0.006083869,0.086335217,6673.746305,0.984835483,-31.63055786,2.18386742,0.092765608,9.173458591,7.98773559,0.194333333,5.49,8.10167674,0.235847458,27.22847543,171.9086865,3330.101751,159.8065446,5,29.4,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.4,BEA,South East Hill,51,490,214,3.6,35.19210526,0.645381984,56.94745,25,3.17,3,2,0.843137255,300.9540151,2.914,0.0952,0.299517562,15.34147478,2.125530429,0.138547986,413.8874826,1.025852589,0.248476425,0.033092647,3.21
J12COA7,119.2307692,3835.729681,332.6256567,17.85714286,5.145,0.530377027,0.607817237,0.346593001,17.09964286,32.749222,42.7689,2.5044,14.46896045,-0.326279101,0.027129899,62.30020409,921.1620478,0.006810374,0.156394836,7710.168742,0.753037627,-31.99868568,4.206191225,0.456080063,3.62691112,29.64537523,0.066333333,6.71,18.80268711,0.915020946,53.65582115,240.6224366,10052.36002,176.7487047,40,29.1,0.882947593,-0.469471563,222,26.67,-11.17,13.12,5.39,COA,South East Hill,23,465,214,3.1,NA,0.526857143,38.2114,10,4,1.77,1.02,0.847826087,104.0784626,5.767571744,0.1182,0.277066176,17.07750359,2.955906897,0.173087763,395.3982488,1.146904611,0.350309179,0.222716604,2.97
J12FRA23,173.7777778,12859.39457,134.3068759,69,6.95,0.390774357,0.778308648,0.61473801,145.63,33.5233125,44.7849,2.5957,15.72869648,-2.201580391,0.033457787,211.7868195,152.9282956,0.224798079,0.174634422,12241.33144,0.036775538,-31.32747849,2.719908256,0.138792283,4.160492916,17.78347781,0.111333333,6.87,11.48221442,0.632211538,22.9190595,192.3084197,8217.364124,100.4288613,21,39.6,0.882947593,-0.469471563,222,26.67,-11.17,13.12,6.22,FRA,South East Hill,32,782,214,6.3,50.85182609,0.550675676,63.9067,30,2.46,2.38,2.59,0.725806452,167.1805994,7.391766773,0.0952,0.352135636,17.25349617,2.847337035,0.165029569,1211.66495,0.159889378,0.788714311,0.193946244,3.36
J12OSV23,218.5714286,4006.367603,548.5643307,7.433333333,4.12,0.56089323,0.684597156,0.733111566,13.73934426,28.99415344,46.0314,2.2327,13.57853598,-1.747870312,0.025291141,56.04833807,1075.156402,0.005498073,0.130204208,3958.112769,0.976965024,-32.11829193,1.085253954,0.152974383,0.830483765,14.64268943,0.2,6.85,14.37498738,0.584867076,15.78413005,133.3328046,7731.415985,87.98882682,46,34,0.882947593,-0.469471563,222,26.67,-11.17,13.12,4.86,OSV,South East Hill,17,306,214,1.2,58.26381523,0.654953636,66.89305,12,4.58,3.25,1.07,0.549019608,247.7686796,3.908,0.0852,0.340306965,20.61692122,3.390012007,0.164428625,444.2683399,1.17776143,0.22713224,0.146239692,3.13
J12TIA16,157.2222222,944.4841736,169.5092159,16,5.745,0.337001305,0.341689373,0.955580467,71.30625,30.01139451,45.0537,3.8385,25.48766103,-1.205208845,0.03128585,78.24738387,1122.57166,0.009986578,0.174666691,6012.002027,0.73065836,-29.97691383,NA,NA,2.83277993,12.05226326,0.117333333,NA,NA,NA,NA,NA,NA,NA,15,33.1,0.309016994,-0.951056516,222,26.67,-11.17,13.12,4.92,TIA,South East Hill,13,283,214,1.8,74.45780347,0.549439348,68.6518,35,3.98,2.88,1.26,0.545454545,311.9025677,3.626068257,0.106,0.283126363,11.56336784,1.797046027,0.155408533,446.3441649,1.55342558,NA,NA,2.67
